aarch64-linux-gnu-binutils 2.42-1
aarch64-linux-gnu-gcc 14.1.0-1
aarch64-linux-gnu-gdb 14.2-2
aarch64-linux-gnu-glibc 2.39-1
aarch64-linux-gnu-linux-api-headers 6.7-1
abseil-cpp 20240116.2-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 46.2-1
adwaita-icon-theme 46.2-1
adwaita-icon-theme-legacy 46.2-1
alsa-lib 1.2.11-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
aom 3.9.0-1
archlinux-keyring 20240520-1
argon2 20190702-5
asciidoctor 2.0.23-1
at-spi2-core 2.52.0-1
attr 2.5.2-1
audit 4.0.1-3
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-2
base 3-2
base-devel 1-1
bash 5.2.026-2
bash-completion 2.14.0-1
bc 1.07.1-4
binutils 2.42+r91+g6224493e457-1
bison 3.8.2-6
blas 3.12.0-5
blosc 1.21.5-1
boost-libs 1.83.0-8
brotli 1.1.0-2
bzip2 1.0.8-6
ca-certificates 20220905-1
ca-certificates-mozilla 3.100-1
ca-certificates-utils 20220905-1
cairo 1.18.0-2
cantarell-fonts 1:0.303.1-1
cblas 3.12.0-5
cdrtools 3.02a09-5
clang 17.0.6-2
cmake 3.29.4-1
coin 4.0.2-2
compiler-rt 17.0.6-2
coreutils 9.5-1
cpio 2.15-1
cppdap 1.58.0-1
cryptsetup 2.7.2-1
ctags 1:6.1.0-2
curl 8.8.0-1
dav1d 1.4.2-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-2
dbus-broker-units 36-2
dconf 0.40.0-2
debugedit 5.0-6
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.24-1
diffutils 3.10-1
dosfstools 4.2-3
double-conversion 3.3.0-1
duktape 2.7.0-6
e2fsprogs 1.47.1-4
ed 1.20.2-2
efibootmgr 18-3
efivar 39-1
expat 2.6.2-1
fakeroot 1.34-1
feh 3.10.2-1
ffmpeg 2:6.1.1-7
fftw 3.3.10-7
file 5.45-1
filesystem 2024.04.07-1
findutils 4.10.0-1
firefox 126.0.1-1
flac 1.4.3-1
flex 2.6.4-5
fmt 10.2.0-1
fontconfig 2:2.15.0-2
freecad 0.21.2-23
freeglut 3.4.0-1
freeimage 3.18.0-21
freetype2 2.13.2-1
fribidi 1.0.14-1
fzf 0.52.1-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 14.1.1+r58+gfc9fb69ad62-1
gcc-libs 14.1.1+r58+gfc9fb69ad62-1
gdb 14.2-2
gdb-common 14.2-2
gdbm 1.23-2
gdk-pixbuf2 2.42.12-1
gettext 0.22.5-1
giflib 5.2.2-1
girara 0.4.4-1
git 2.45.2-1
gl2ps 1.4.2-3
glew 2.2.0-6
glib-networking 1:2.80.0-1
glib2 2.80.2-2
glibc 2.39+r52+gf8e4623421-1
glslang 14.1.0-1
glu 9.0.3-1
gmp 6.3.0-2
gnupg 2.4.5-1
gnutls 3.8.5-1
gperftools 2.15-1
gpgme 1.23.2-4
gpm 1.20.7.r38.ge82d1a6-5
graphite 1:1.3.14-3
grep 3.11-1
groff 1.23.0-6
grub 2:2.12-2
gsettings-desktop-schemas 46.0-1
gsm 1.0.22-1
gtest 1.14.0-1
gtk-update-icon-cache 1:4.14.4-1
gtk3 1:3.24.42-1
guile 3.0.9-1
gzip 1.13-2
harfbuzz 8.5.0-1
hdf5-openmpi 1.14.4.2-2
help2man 1.49.3-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-2
highway 1.2.0-1
hwdata 0.382-1
hwloc 2.10.0-1
iana-etc 20240412-1
icu 75.1-1
imath 3.1.11-2
imlib2 1.12.2-2
iproute2 6.9.0-1
iptables 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
jack2 1.9.22-1
jansson 2.14-4
jasper 4.2.4-1
jbigkit 2.1-8
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
jxrlib 0.2.4-2
kbd 2.6.4-1
keyutils 1.6.3-2
kmod 32-1
krb5 1.21.2-2
l-smash 2.14.5-3
lame 3.100-4
lapack 3.12.0-5
lcms2 2.16-1
less 1:643-2
libaec 1.1.3-1
libaio 0.3.113-3
libarchive 3.7.4-1
libass 0.17.2-1
libassuan 2.5.7-2
libasyncns 1:0.8+r3+g68cd5af-2
libavc1394 0.5.4-6
libb2 0.98.1-2
libbluray 1.3.4-1
libbpf 1.4.2-1
libbs2b 3.1.0-8
libbsd 0.12.2-2
libcap 2.70-1
libcap-ng 0.8.5-2
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.2-1
libcloudproviders 0.3.6-1
libcolord 1.4.7-2
libcups 2:2.4.8-2
libdaemon 0.14-5
libdatrie 0.2.13-4
libdeflate 1.20-2
libdovi 3.3.0-2
libdrm 2.4.120-1
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libedit 20240517_3.1-1
libei 1.2.1-1
libelf 0.191-3
libepoxy 1.5.10-2
libevdev 1.13.2-1
libevent 2.1.12-4
libexif 0.6.24-2
libfabric 1.21.0-1
libffi 3.4.6-1
libfontenc 1.1.8-1
libgcrypt 1.10.3-1
libglvnd 1.7.0-1
libgpg-error 1.49-1
libgudev 238-1
libice 1.1.1-2
libidn2 2.3.7-1
libiec61883 1.2.0-7
libimagequant 4.3.1-1
libinput 1.25.0-1
libisl 0.26-2
libjpeg-turbo 3.0.3-1
libjxl 0.10.2-1
libksba 1.6.6-1
libldap 2.6.7-2
libluv 1.48.0_2-1
libmd 1.1.0-1
libmm-glib 1.22.0-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-5
libmpc 1.3.1-1
